(1675975451.206395, 1.28242405) 
(1675975572.556233, 1.28779357) 
(1675975694.199967, 1.290753665) 
(1675975815.732843, 1.29328784) 
(1675975937.25539, 1.296490625) 
(1675976058.746727, 1.29818853) 
(1675976180.286749, 1.290454775) 
(1675976301.752479, 1.292243525) 
(1675976423.378394, 1.29083489) 
(1675976544.936044, 1.2830999) 
(1675976666.363805, 1.279350005) 
(1675976787.956963, 1.282783845) 
(1675976909.556816, 1.27902415) 
(1675977031.144392, 1.27359078) 
(1675977152.620743, 1.274116815) 
(1675977274.080279, 1.27884295) 
(1675977395.689431, 1.28236711) 
(1675977517.277286, 1.282536) 
(1675977638.898325, 1.2816116) 
(1675977760.434683, 1.27187827) 
(1675977881.989772, 1.264796795) 
(1675978003.645559, 1.274507045) 
(1675978125.215767, 1.271127146788455) 
(1675978246.894767, 1.261393435) 
(1675978368.249078, 1.255912295) 
(1675978489.676683, 1.263812275) 
(1675978611.097336, 1.26594399) 
(1675978732.77815, 1.268385265) 
(1675978854.207289, 1.264843035) 
(1675978975.743943, 1.258444795) 
(1675979097.378934, 1.258786305) 
(1675979218.900388, 1.257613405) 
(1675979340.630931, 1.25726844) 
(1675979462.346995, 1.25113681) 
(1675979584.143548, 1.25010754) 
(1675979705.655377, 1.251995) 
(1675979827.33041, 1.25124154) 
(1675979948.909187, 1.25583295) 
(1675980070.335423, 1.25827053) 
(1675980191.796198, 1.265895635) 
(1675980313.178329, 1.26476) 
(1675980434.710195, 1.26593774) 
(1675980556.208006, 1.2694806) 
(1675980677.740315, 1.26961983) 
(1675980799.232409, 1.26775943663461) 
(1675980920.971307, 1.26944978485391) 
(1675981042.580347, 1.27493182) 
(1675981164.284462, 1.26974916751558) 
(1675981285.910909, 1.26950471) 
(1675981408.133718, 1.26776108162965) 
(1675981531.061619, 1.26630336) 
(1675981653.516063, 1.266873815) 
(1675981776.100439, 1.262909605) 
(1675981898.333375, 1.26243597) 
(1675982020.600503, 1.26314215) 
(1675982143.023137, 1.26220358) 
(1675982265.699592, 1.262316415) 
(1675982387.960237, 1.258802845) 
(1675982509.972402, 1.255591455) 
(1675982631.462988, 1.246597355) 
(1675982753.040547, 1.233552045) 
(1675982874.87799, 1.22974923) 
(1675982996.299542, 1.22477531) 
(1675983117.762624, 1.218146565) 
(1675983239.548894, 1.2160405) 
(1675983361.312434, 1.20655541) 
(1675983483.253743, 1.221557605) 
(1675983605.22008, 1.21916751) 
(1675983727.253115, 1.22081117) 
(1675983850.098282, 1.221354415) 
(1675983972.092641, 1.225677745) 
(1675984094.877405, 1.22752523) 
(1675984217.391287, 1.230173195) 
(1675984339.915004, 1.22415700570873) 
(1675984462.568841, 1.22842432407423) 
(1675984584.944238, 1.225222077821465) 
(1675984707.120095, 1.22779089312077) 
(1675984829.950822, 1.226307397567785) 
(1675984952.549419, 1.22934328369011) 
(1675985075.362173, 1.227417847144675) 
(1675985198.028164, 1.230491483559755) 
(1675985320.178479, 1.23124343848735) 
(1675985442.37651, 1.23051855) 
(1675985564.944337, 1.231316537917245) 
(1675985687.351739, 1.22811) 
(1675985810.082625, 1.2243217) 
(1675985932.888391, 1.228196285) 
(1675986055.406617, 1.22903939102737) 
(1675986177.974297, 1.232078825) 
(1675986299.727823, 1.23258571) 
(1675986422.391317, 1.23248634) 
(1675986544.818689, 1.23353025) 
(1675986667.323436, 1.232158405) 
(1675986789.726347, 1.229951015) 
(1675986912.200148, 1.22484884) 
(1675987034.757855, 1.2272683) 
